"i"	"protID"	"spname"	"group"	"assembly"	"symM3"	"symM2"	"symM1"	"sym0"	"sym1"	"sym2"	"sym3"	"strandM3"	"strandM2"	"strandM1"	"strand0"	"strand1"	"strand2"	"strand3"	"accM3"	"accM2"	"accM1"	"acc0"	"acc1"	"acc2"	"acc3"	"nameM3"	"nameM2"	"nameM1"	"name0"	"name1"	"name2"	"name3"	"prot_feature_tables_all_fn"
"43"	"43"	"ABG59284.1"	"Cytophaga_hutchinsonii_ATCC_33406"	"Bacteroidota"	"GCA_000014145.1"	"dps"	""	"paaH"	"exbB"	""	""	"tonB"	"-"	"+"	"+"	"-"	"-"	"-"	"-"	"ABG59287.1"	"ABG59286.1"	"ABG59285.1"	"ABG59284.1"	"ABG59283.1"	"ABG59282.1"	"ABG59281.1"	"DNA-binding protein; DPS family protein"	"conserved hypothetical protein"	"3-hydroxybutyryl-CoA dehydrogenase"	"outer membrane transport energization protein ExbB"	"outer membrane transport energization protein ExbD"	"outer membrane transport energization protein ExbD"	"outer membrane transport energization protein TonB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"44"	"44"	"AKD02510.1"	"Pontibacter_korlensis_X14-1T"	"Bacteroidota"	"GCA_000973725.1"	""	""	""	""	""	""	""	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"AKD02507.1"	"AKD02508.1"	"AKD02509.1"	"AKD02510.1"	"AKD02511.1"	"AKD02512.1"	"AKD02513.1"	"cysteine desulfurase"	"phosphoglucosamine mutase"	"pyrophosphatase"	"flagellar motor protein MotA"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"energy transducer TonB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"45"	"45"	"UAK41566.1"	"Bacteroides_nordii_FDAARGOS_1461"	"Bacteroidota"	"GCA_019930665.1"	""	""	"rrf"	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	""	""	""	"UAK41566.1"	"UAK41565.1"	"UAK41564.1"	"UAK41563.1"	"tRNA-Ala"	"23S ribosomal RNA"	"5S ribosomal RNA"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"TonB family protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"46"	"46"	"BCI63438.1"	"Coprobacter_secundus_subsp_similis_2CBH44"	"Bacteroidota"	"GCA_015097275.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"BCI63441.1"	"BCI63440.1"	"BCI63439.1"	"BCI63438.1"	"BCI63437.1"	"BCI63436.1"	"BCI63435.1"	"multidrug transporter AcrB"	"cation efflux system protein"	"hypothetical protein"	"flagellar motor protein MotA"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"cell envelope biogenesis protein TonB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"47"	"47"	"ADV62354.1"	"Isospaera_pallida_ATCC_43644"	"Planctomycetes"	"GCA_000186345.1"	""	""	""	NA	""	""	""	"+"	"-"	"-"	"-"	"-"	"+"	"+"	"ADV62357.1"	"ADV62356.1"	"ADV62355.1"	"ADV62354.1"	"ADV62353.1"	"ADV62352.1"	"ADV62351.1"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"48"	"48"	"AIE86461.1"	"Fimbriimonas_ginsengisoli_Gsoil_348"	"Armatimonadetes"	"GCA_000724625.1"	""	""	""	NA	""	""	""	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"AIE86458.1"	"AIE86459.1"	"AIE86460.1"	"AIE86461.1"	"AIE86462.1"	"AIE86463.1"	"AIE86464.1"	"putative rhamnulokinase"	"hypothetical protein"	"ankyrin repeat protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"TonB family protein"	"TonB-dependent receptor"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"49"	"49"	"CCW36281.1"	"Chthonomonas_calidirosea_T49"	"Armatimonadetes"	"GCA_000427095.1"	""	""	""	""	""	""	""	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"CCW36284.1"	"CCW36283.1"	"CCW36282.1"	"CCW36281.1"	"CCW36280.1"	"CCW36279.1"	"CCW36278.1"	"Tetratricopeptide repeat./Aspartyl protease./TPR repeat"	"UDP-N-Acetylglucosamine 2-epimerase"	"hypothetical protein"	"Biopolymer transport proteins"	"outer membrane transport energization protein ExbD (TC 2.C.1.1.1)"	"outer membrane transport energization protein TonB (TC 2.C.1.1.1)"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"50"	"50"	"ADV60824.1"	"Isospaera_pallida_ATCC_43644"	"Planctomycetes"	"GCA_000186345.1"	""	""	""	NA	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"-"	"ADV60821.1"	"ADV60822.1"	"ADV60823.1"	"ADV60824.1"	"ADV60825.1"	"ADV60826.1"	"ADV60827.1"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"SNARE associated Golgi protein-like protein"	"short-chain dehydrogenase/reductase SDR"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"51"	"51"	"QDU31292.1"	"Anatilimnocola_aggregata_ETA_A8"	"Planctomycetes"	"GCA_007747655.1"	"nhaS3_2"	""	""	"exbB_4"	""	""	""	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"QDU31289.1"	"QDU31290.1"	"QDU31291.1"	"QDU31292.1"	"QDU31293.1"	"QDU31294.1"	"QDU31295.1"	"High-affinity Na(+)/H(+) antiporter NhaS3"	"tol-pal system protein YbgF"	"tol-pal system protein YbgF"	"Biopolymer transport protein ExbB"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"52"	"52"	"ADB17458.1"	"Pirellula_staleyi_DSM_6068"	"Planctomycetes"	"GCA_000025185.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ADB17461.1"	"ADB17460.1"	"ADB17459.1"	"ADB17458.1"	"ADB17457.1"	"ADB17456.1"	"ADB17455.1"	"protein of unknown function DUF1501"	"Tetratricopeptide domain protein"	"Tetratricopeptide TPR_2 repeat protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"53"	"53"	"QDU92956.1"	"Lignipirellula_cremea_Pla85_3_4"	"Planctomycetes"	"GCA_007751035.1"	""	""	""	"exbB_1"	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"QDU92959.1"	"QDU92958.1"	"QDU92957.1"	"QDU92956.1"	"QDU92955.1"	"QDU92954.1"	"QDU92953.1"	"hypothetical protein"	"tol-pal system protein YbgF"	"tol-pal system protein YbgF"	"Biopolymer transport protein ExbB"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"54"	"54"	"QTD53280.1"	"Sulfidibacter_corallicola_M133"	"Acidobacteriota"	"GCA_017498545.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"QTD53283.1"	"QTD53282.1"	"QTD53281.1"	"QTD53280.1"	"QTD53279.1"	"QTD53278.1"	"QTD53277.1"	"efflux RND transporter periplasmic adaptor subunit"	"efflux RND transporter permease subunit"	"efflux RND transporter permease subunit"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"TonB family protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"55"	"55"	"QZZ22141.1"	"Leptothermofonsia_sichuanensis_PKUAC-SCTE412"	"Cyanobacteria"	"GCA_019891175.1"	""	""	""	""	""	""	""	"+"	"-"	"+"	"+"	"+"	"-"	"+"	"QZZ22139.1"	"QZZ22140.1"	"QZZ23422.1"	"QZZ22141.1"	"QZZ22142.1"	"QZZ22143.1"	"QZZ22144.1"	"phytoene/squalene synthase family protein"	"DUF4347 domain-containing protein"	"SulP family inorganic anion transporter"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"SH3 domain-containing protein"	"FAD-dependent oxidoreductase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"56"	"56"	"QZZ23337.1"	"Leptothermofonsia_sichuanensis_PKUAC-SCTE412"	"Cyanobacteria"	"GCA_019891175.1"	""	""	""	""	""	""	""	"+"	"+"	"-"	"+"	"+"	"+"	"+"	"QZZ21397.1"	"QZZ21398.1"	"QZZ21399.1"	"QZZ23337.1"	"QZZ21400.1"	"QZZ21401.1"	"QZZ21402.1"	"BrnT family toxin"	"CopG family transcriptional regulator"	"TonB-dependent siderophore receptor"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"energy transducer TonB"	"iron ABC transporter permease"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"57"	"57"	"UNU17462.1"	"Microcoleus_vaginatus_PCC_9802"	"Cyanobacteria"	"GCA_022701275.1"	""	""	""	""	""	"hemL"	""	"-"	"-"	"-"	"+"	"+"	"-"	"+"	"UNU17460.1"	"UNU22106.1"	"UNU17461.1"	"UNU17462.1"	"UNU17463.1"	"UNU17464.1"	"UNU17465.1"	"acylase"	"hypothetical protein"	"TonB family protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"glutamate-1-semialdehyde-2,1-aminomutase"	"bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"58"	"58"	"QIZ70555.1"	"Oxynema_aestuarii_AP17"	"Cyanobacteria"	"GCA_012295525.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"-"	"-"	"+"	"+"	""	"QIZ70557.1"	"QIZ70556.1"	"QIZ70555.1"	"QIZ70554.1"	"QIZ73659.1"	"QIZ70553.1"	"hypothetical protein"	"hypothetical protein"	"TonB family protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"iron ABC transporter permease"	"iron-siderophore ABC transporter substrate-binding protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"59"	"59"	"BAC89328.1"	"Gloeobacter_violaceus_PCC_7421"	"Cyanobacteria"	"GCA_000011385.1"	"gll1384"	"glr1385"	"glr1386"	"glr1387"	"glr1388"	"glr1389"	"glr1390"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"BAC89325.1"	"BAC89326.1"	"BAC89327.1"	"BAC89328.1"	"BAC89329.1"	"BAC89330.1"	"BAC89331.1"	""	""	""	""	""	""	"anion transporting ATPase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"60"	"60"	"BAC90343.1"	"Gloeobacter_violaceus_PCC_7421"	"Cyanobacteria"	"GCA_000011385.1"	"glr2399"	"gll2400"	"psaM"	"glr2402"	"glr2403"	"glr2404"	"recF"	"+"	"-"	"-"	"+"	"+"	"+"	"-"	"BAC90340.1"	"BAC90341.1"	"BAC90342.1"	"BAC90343.1"	"BAC90344.1"	"BAC90345.1"	"BAC90346.1"	""	""	"photosystem I subunit XII"	"MotA/TolQ/ExbB family proton channel protein"	""	""	"DNA repair and genetic recombination protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"61"	"61"	"QTD54135.1"	"Sulfidibacter_corallicola_M133"	"Acidobacteriota"	"GCA_017498545.1"	""	""	"nadE"	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"QTD54138.1"	"QTD54137.1"	"QTD54136.1"	"QTD54135.1"	"QTD54134.1"	"QTD54133.1"	"QTD54132.1"	"HAMP domain-containing protein"	"PilZ domain-containing protein"	"NAD(+) synthase"	"hypothetical protein"	"OmpA family protein"	"hypothetical protein"	"serine/threonine protein kinase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"62"	"62"	"QIZ71789.1"	"Oxynema_aestuarii_AP17"	"Cyanobacteria"	"GCA_012295525.1"	""	""	""	""	""	""	""	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"QIZ71791.1"	"QIZ71790.1"	""	"QIZ71789.1"	"QIZ71788.1"	"QIZ71787.1"	"QIZ73765.1"	"hypothetical protein"	"DUF4359 domain-containing protein"	"tRNA-His"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"class I SAM-dependent methyltransferase"	"prepilin-type N-terminal cleavage/methylation domain-containing protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"63"	"63"	"QZZ19520.1"	"Leptothermofonsia_sichuanensis_PKUAC-SCTE412"	"Cyanobacteria"	"GCA_019891175.1"	""	""	""	""	""	""	""	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"QZZ23671.1"	"QZZ19522.1"	"QZZ19521.1"	"QZZ19520.1"	"QZZ19519.1"	"QZZ19518.1"	"QZZ23670.1"	"hypothetical protein"	"hypothetical protein"	"creatininase family protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"ribulose-phosphate 3-epimerase"	"S8 family serine peptidase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"64"	"64"	"UNU18280.1"	"Microcoleus_vaginatus_PCC_9802"	"Cyanobacteria"	"GCA_022701275.1"	"dnaJ"	""	"rsgA"	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"-"	"+"	"UNU18277.1"	"UNU18278.1"	"UNU18279.1"	"UNU18280.1"	"UNU18281.1"	"UNU18282.1"	"UNU18283.1"	"molecular chaperone DnaJ"	"sulfurtransferase TusA family protein"	"ribosome small subunit-dependent GTPase A"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"hypothetical protein"	"NblA-related protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"65"	"65"	"QZZ21680.1"	"Leptothermofonsia_sichuanensis_PKUAC-SCTE412"	"Cyanobacteria"	"GCA_019891175.1"	""	""	""	""	""	""	""	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"QZZ21683.1"	"QZZ21682.1"	"QZZ21681.1"	"QZZ21680.1"	"QZZ21679.1"	"QZZ21678.1"	"QZZ21677.1"	"alpha/beta hydrolase"	"hypothetical protein"	"DUF4333 domain-containing protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"66"	"66"	"BAM06053.1"	"Leptosprillum_ferrooxidans_C2-3"	"Nitrospirae"	"GCA_000284315.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"BAM06056.1"	"BAM06055.1"	"BAM06054.1"	"BAM06053.1"	"BAM06052.1"	"BAM06051.1"	"BAM06050.1"	"tonB-dependent receptor"	"putative two component transcriptional regulator"	"hypothetical protein"	"biopolymer transport protein"	"putative biopolymer transport protein"	"putative TonB-like protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"67"	"67"	"AKJ64362.1"	"Kiritimatiella_glycovorans_L21-Fru-AB"	"Kiritimatiellaeota"	"GCA_001017655.1"	""	""	"fecA"	"exbB_4"	""	""	"btuF"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"AKJ64359.1"	"AKJ64360.1"	"AKJ64361.1"	"AKJ64362.1"	"AKJ64363.1"	"AKJ64364.1"	"AKJ64365.1"	"hypothetical protein"	"Outer membrane receptor for ferrienterochelin and colicins"	"Iron(III) dicitrate transport protein FecA"	"Biopolymer transport protein ExbB"	"colicin uptake protein TolR"	"hypothetical protein"	"Vitamin B12-binding protein precursor"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"68"	"68"	"ACB75629.1"	"Opitutus_terrae_PB90-1"	"Verrucomicrobia"	"GCA_000019965.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	""	""	""	"ACB75629.1"	"ACB75628.1"	"ACB75627.1"	"ACB75626.1"	"tRNA-Lys"	"tRNA-Thr"	"tRNA-Gln"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"TonB family protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"69"	"69"	"ATC62712.1"	"Nibricoccus_aquaticus_HZ-65"	"Verrucomicrobia"	"GCA_002310495.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	""	""	""	"ATC62712.1"	"ATC62713.1"	"ATC62714.1"	"ATC62715.1"	"tRNA-Lys"	"tRNA-Thr"	"tRNA-Gln"	"flagellar motor protein MotA"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"energy transducer TonB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"70"	"70"	"ATC64798.1"	"Nibricoccus_aquaticus_HZ-65"	"Verrucomicrobia"	"GCA_002310495.1"	""	""	""	""	""	""	""	"+"	"-"	"+"	"-"	"-"	"-"	"-"	"ATC66125.1"	"ATC64800.1"	"ATC64799.1"	"ATC64798.1"	"ATC64797.1"	"ATC64796.1"	"ATC64795.1"	"LysR family transcriptional regulator"	"nitrate transporter"	"hypothetical protein"	"flagellar motor protein MotA"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"energy transducer TonB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"71"	"71"	"AWI08882.1"	"Ereboglobus_luteus_Ho45"	"Verrucomicrobia"	"GCA_003096195.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	""	""	""	"AWI08882.1"	"AWI08883.1"	"AWI08884.1"	"AWI08885.1"	"tRNA-Lys"	"tRNA-Thr"	"tRNA-Gln"	"flagellar motor protein MotA"	"biopolymer transporter ExbD"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"72"	"72"	"QSR83870.1"	"Methylacidimicrobium_sp_B4_NA"	"Verrucomicrobia"	"GCA_017310545.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"QSR83873.1"	"QSR83872.1"	"QSR83871.1"	"QSR83870.1"	"QSR83869.1"	"QSR83868.1"	"QSR83867.1"	"DUF883 family protein"	"phage holin family protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"hypothetical protein"	"efflux RND transporter permease subunit"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"73"	"73"	"QSR84237.1"	"Methylacidimicrobium_sp_B4_NA"	"Verrucomicrobia"	"GCA_017310545.1"	""	""	""	""	""	""	"trpE"	"+"	"+"	"-"	"+"	"+"	"+"	"+"	"QSR84234.1"	"QSR84235.1"	"QSR84236.1"	"QSR84237.1"	""	"QSR84238.1"	"QSR84239.1"	"class I SAM-dependent methyltransferase"	"glycosyltransferase family 4 protein"	"HAD family phosphatase"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"energy transducer TonB"	"anthranilate synthase component I"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"74"	"74"	"QJE97567.1"	"Luteolibacter_luteus_G-1-1-1"	"Verrucomicrobia"	"GCA_012913485.1"	""	""	""	""	""	""	""	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"QJE97570.1"	"QJE97569.1"	"QJE97568.1"	"QJE97567.1"	"QJE97566.1"	"QJE97565.1"	"QJE97564.1"	"choice-of-anchor D domain-containing protein"	"hypothetical protein"	"energy transducer TonB"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"hypothetical protein"	"tetratricopeptide repeat protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"75"	"75"	"QSR85862.1"	"Methylacidimicrobium_sp_B4_NA"	"Verrucomicrobia"	"GCA_017310545.1"	"allB"	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"QSR84345.1"	"QSR84344.1"	"QSR84343.1"	"QSR85862.1"	"QSR84342.1"	"QSR84341.1"	"QSR85861.1"	"allantoinase AllB"	"biopolymer transporter ExbD"	"TonB family protein"	"MotA/TolQ/ExbB proton channel family protein"	"hypothetical protein"	"MFS transporter"	"class I SAM-dependent methyltransferase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"76"	"76"	"PKPEBJJI_00344"	"Verrucomicrobium_sp_I-3_bin-033"	"Verrucomicrobia"	"PRJEB3868_Verrucomicrobium_sp_CAIZXV01"	""	""	"tolR_2"	""	"trxB"	"rdgB"	"leuS"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"PKPEBJJI_00341"	"PKPEBJJI_00342"	"PKPEBJJI_00343"	"PKPEBJJI_00344"	"PKPEBJJI_00345"	"PKPEBJJI_00346"	"PKPEBJJI_00347"	"hypothetical protein"	"hypothetical protein"	"Tol-Pal system protein TolR"	"hypothetical protein"	"Thioredoxin reductase"	"dITP/XTP pyrophosphatase"	"Leucine--tRNA ligase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"77"	"77"	"DGBBEKCF_01299"	"Verrucomicrobium_sp_I3b_bin-317"	"Verrucomicrobia"	"PRJEB38681_Verrucomicrobium_sp_CAISZB01"	""	"def1"	"tolR_3"	"tolQ_4"	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"DGBBEKCF_01296"	"DGBBEKCF_01297"	"DGBBEKCF_01298"	"DGBBEKCF_01299"	"DGBBEKCF_01300"	"DGBBEKCF_01301"	"DGBBEKCF_01302"	"hypothetical protein"	"Peptide deformylase 1"	"Tol-Pal system protein TolR"	"Tol-Pal system protein TolQ"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"78"	"78"	"QSR84464.1"	"Methylacidimicrobium_sp_B4_NA"	"Verrucomicrobia"	"GCA_017310545.1"	"rpmH"	""	""	""	""	""	""	"+"	"+"	"-"	"-"	"+"	"+"	"+"	"QSR84466.1"	"QSR85871.1"	"QSR84465.1"	"QSR84464.1"	"QSR84463.1"	"QSR84462.1"	"QSR84461.1"	"50S ribosomal protein L34"	"polyprenyl synthetase family protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"ABC transporter permease"	"ABC transporter permease"	"ABC transporter ATP-binding protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"79"	"79"	"SEH78546.1"	"Akkermansia_glycaniphila_isolate_APytT_NA"	"Verrucomicrobia"	"GCA_900097105.1"	""	""	""	NA	""	""	""	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"SEH78584.1"	"SEH78570.1"	"SEH78559.1"	"SEH78546.1"	"SEH78532.1"	"SEH78522.1"	"SEH78510.1"	"aldolase-type tim barrel"	"ssb: single-stranded dna-binding protein"	"Hypothetical protein"	"mota/tolq/exbb proton channel family"	"biopolymer transport protein exbd/tolr"	"peptide deformylase"	"protein kinase-like domain"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"80"	"80"	"QAT17590.1"	"Velamenicoccus_archaeovorus_LiM"	"Omnitrophica"	"GCA_004102945.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"QAT18065.1"	"QAT17592.1"	"QAT17591.1"	"QAT17590.1"	"QAT17589.1"	"QAT17588.1"	""	"endonuclease IV"	"leucine--tRNA ligase"	"hypothetical protein"	"ferric siderophore transport system, biopolymer transport protein ExbB"	"biopolymer transport protein ExbD/TolR"	"competence protein"	"tRNA-Thr"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"81"	"81"	"ARN57240.1"	"Sedimentispaera_salicampi_ST-PulAB-D4"	"Planctomycetes"	"GCA_002117005.1"	""	""	"exbB_1"	"exbB_2"	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ARN57237.1"	"ARN57238.1"	"ARN57239.1"	"ARN57240.1"	"ARN57241.1"	"ARN57242.1"	"ARN57243.1"	"TonB-dependent receptor"	"chromosome segregation protein SMC"	"Biopolymer transport protein ExbB"	"Biopolymer transport protein ExbB"	"biopolymer transport protein ExbD"	"hypothetical protein"	"tetratricopeptide repeat protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"82"	"82"	"AKJ65464.1"	"Kiritimatiella_glycovorans_L21-Fru-AB"	"Kiritimatiellaeota"	"GCA_001017655.1"	""	""	"exbB_7"	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AKJ65467.1"	"AKJ65466.1"	"AKJ65465.1"	"AKJ65464.1"	"AKJ65463.1"	"AKJ65462.1"	"AKJ65461.1"	"TonB-dependent receptor"	"hypothetical protein"	"Biopolymer transport protein ExbB"	"colicin uptake protein TolQ"	"hypothetical protein"	"biopolymer transport protein ExbD"	"transport protein TonB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"83"	"83"	"EKT88184.1"	"Leptospra_santarosai_Shermani_LT_821_chrom1"	"Spirochaetes"	"GCA_000313175.2"	""	""	""	""	""	""	""	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"EKT88186.1"	"EKT88185.1"	"AIT10837.1"	"EKT88184.1"	"EKT88183.1"	"EKT88182.1"	"EKT88181.1"	"hypothetical protein"	"TonB-denpendent receptor"	"hypothetical protein"	"biopolymer transporter"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"cell envelope biogenesis protein TonB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"84"	"84"	"ARN57239.1"	"Sedimentispaera_salicampi_ST-PulAB-D4"	"Planctomycetes"	"GCA_002117005.1"	""	""	""	"exbB_1"	"exbB_2"	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ARN57236.1"	"ARN57237.1"	"ARN57238.1"	"ARN57239.1"	"ARN57240.1"	"ARN57241.1"	"ARN57242.1"	"hypothetical protein"	"TonB-dependent receptor"	"chromosome segregation protein SMC"	"Biopolymer transport protein ExbB"	"Biopolymer transport protein ExbB"	"biopolymer transport protein ExbD"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"85"	"85"	"AKJ65465.1"	"Kiritimatiella_glycovorans_L21-Fru-AB"	"Kiritimatiellaeota"	"GCA_001017655.1"	""	""	""	"exbB_7"	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AKJ65468.1"	"AKJ65467.1"	"AKJ65466.1"	"AKJ65465.1"	"AKJ65464.1"	"AKJ65463.1"	"AKJ65462.1"	"hypothetical protein"	"TonB-dependent receptor"	"hypothetical protein"	"Biopolymer transport protein ExbB"	"colicin uptake protein TolQ"	"hypothetical protein"	"biopolymer transport protein ExbD"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
