	Download script?	GenBank ID	RefSeq	FTP path	GenBank accession	Flagellum	Motility	Phylum	Class	Order	Family	Genus	Species	Strain	Reference	Notes	Isolation source	Habitat/Lifestyle	flag-1	flag-2	flag-3a	flag-3b	flag-4	flag-5	sum	3ish	3plain	manual	which	spname_in_lit	notes31	group	notes32
	5flag_systems	GCA_001721185.1	GCF_001721185.1		ASM172118v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Xenorhabdus	hominickii	ANU1			Nematoda	Symbiont	CP016176	-	-	-	-	-	1			1	flag-1				
	5flag_systems	GCA_004343195.1	GCF_004343195.1		ASM434319v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Biostraticola	tofi	DSM 19580			Environment	Freshwater	-	-	-	-	SMCR01000005	-	1			1	flag-4				
	5flag_systems	GCA_000517425.1	GCF_000517425.1 		ASM51742v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Sodalis	praecaptivus	HS1			Insect	Symbiont	CP006569	-	-	-	CP006569	-	2			1	flag-1, flag-4				
	5flag_systems	GCA_004150405.1	GCF_004150405.1		ASM415040v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Rahnella	variigena	VCR3			Environment	Soil	QKVV01000001/QKVV01000002	-	-	QKVV01000001	-	-	2			1	flag-3b				
	5flag_systems	GCA_000951135.1	GCF_000951135.1		ASM95113v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Rouxiella	chamberiensis	130333			Environment	Hospital associated	-	JRWU01000005	-	-	-	-	1			1	flag-2				
	5flag_systems	GCA_001319955.1	GCF_001319955.1		5139_5#3		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Yersinia	bercovieri	FE80217			Human	Clinical	CGBH01000002/CGBH01000010	CGBH01000020/CGBH01000030	-	CGBH01000009 	-	-	3	3	3	1	flag-1, flag-2, flag-3b				
	5flag_systems	GCA_000755055.1	GCF_000755055.1		YEG_1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Yersinia	enterocolitica	ATCC 9610			Human	Clinical	KN150735	-	-	-	-	-	1			1	flag-1				
	5flag_systems	GCA_000167995.1	GCF_000167995.1		ASM16799v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Yersinia	mollaretii	ATCC 43969			Environment	Soil	AALD02000039/AALD02000060/AALD02000087	-	-	AALD02000012	-	-	2			1	flag-3b				
	5flag_systems	GCA_001188755.1	GCF_001188755.1		ASM118875v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Yersinia	pestis	8787			Animal (Ovine)	Zoonotic Reservoir/Pathogen	CP006748	CP006748	-	-	-	-	2			1	flag-4				
	5flag_systems	GCA_001171065.1	GCF_001171065.1		4840_6#7		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Yersinia	sp. nov 3	RS-42		On GenBank: Yersinia frederiksenii RS-42	Environment	Food (Meat)	CQDT01000002	CQDT01000007	-	CQDT01000007	-	-	3	3	3	1	flag-1, flag-2, flag-3b				
	5flag_systems	GCA_002192835.1	GCF_002192835.1		ASM219283v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Yersinia	sp. nov 3	SCPM-O-B-8031		On GenBank: Yersinia frederiksenii RS-42	N/A	N/A	MWTJ01000013	-	-	-	-	-	1				flag-1				
	5flag_systems	GCA_002093895.1	GCF_002093895.1		ASM209389v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Plesiomonas	shigelloides	LS1			Animal (Fish)	Commensal	-	MUNJ01000005 	-	-	-	MUNJ01000006	1			1	flag-2, flag-5				
		GCA_000504425.1	GCF_000504425.1		Rhodopseudomonas_palustris_JSC-3b		Motile	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodopseudomonas	palustris	JSC-3b		Excluded from RefSeq: genome length too small														Rhodopseudomonas palustris		Alpha1	Liu_Ochman_2007b_FigS2_2eqSecondary
		GCA_004555545.1	NA		ASM455554v1		Motile	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Dechloromonas	aromatica	W1P12.010		Excluded from RefSeq: derived from metagenome														Dechloromonas aromatica		Beta	Ferreira_Beeby_2021_Fig1A
		GCA_900142135.1	GCF_900142135.1		IMG-taxon_2585428156_annotated_assembly		Motile	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfatibacillaceae	Desulfatibacillum	alkenivorans	DSM 16219																Desulfatibacillum alkenivorans		Delta	Ferreira_Beeby_2021_Fig1A
		GCA_000020365.1	GCF_000020365.1		ASM2036v1		Motile	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulforapulum	autotrophicum	HRM2	Strittmatter et al. (2009). "Genome sequence of Desulfobacterium autotrophicum HRM2, a marine sulfate reducer oxidizing organic carbon completely to carbon dioxide". Environmental Microbiology. 11 (5): 1038–1055. doi:10.1111/j.1462-2920.2008.01825.x	Formerly Desulfobacterium autotrophicum														Desulfobacterium autotrophicum		Delta	Ferreira_Beeby_2021_Fig1A
		GCA_000024325.1	GCF_000024325.1		ASM2432v1		Motile	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfohalobiaceae	Desulfohalobium	retbaense	DSM 5692, HR100																Desulfohalobium retbaense		Delta	Ferreira_Beeby_2021_Fig1A
		GCA_000025945.1	GCF_000025945.1		ASM2594v1		Motile	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfotalea	psychrophila	LSv54																Desulfotalea psychrophila		Delta	Ferreira_Beeby_2021_Fig1A
		GCA_000482745.1	GCF_000482745.1		ASM48274v1		Motile	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Oleidesulfovibrio	alaskensis	DSM 16109		Formerly Desulfovibrio alaskensis														Desulfovibrio alaskensis		Delta	Ferreira_Beeby_2021_Fig1A
		GCA_000010665.1	GCF_000010665.1		ASM1066v1		Motile	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Solidesulfovibrio	magneticus	RS-1		Formerly Desulfovibrio magneticus														Desulfovibrio magneticus		Delta	Ferreira_Beeby_2021_Fig1A
		GCA_000195755.1	GCF_000195755.1		ASM19575v1		Motile	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	vulgaris	vulgaris Hildenborough		type specimen														Desulfovibrio vulgaris			Liu_Ochman_2007b_FigS2_2eqSecondary
		GCA_000264785.1	GCF_000264785.1		ASM26478v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Edwardsiella	ictaluri	ATCC 33202																Edwardsiella_ictaluri			Ferreira_Beeby_2021_Fig1BC
		GCA_000023605.1	GCF_000023605.1		ASM2360v1		Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pectobacterium	carotovorum	carotovorum PC1		Formerly Erwinia carotovora														Erwinia carotovora		enteric	Liu_Ochman_2007b_FigS2_2eqSecondary
