	i	protID	spname	symM3	symM2	symM1	sym0	sym1	sym2	sym3	strandM3	strandM2	strandM1	strand0	strand1	strand2	strand3	accM3	accM2	accM1	acc0	acc1	acc2	acc3	nameM3	nameM2	nameM1	name0	name1	name2	name3	genome_dir	gene_order_table_fn
50	65	AAC07083.1	Aquifex aeolicus VF5	dnaE		cutA	motA	motB1	motB2	fadD	-	+	+	-	-	-	-	AAC07087.1	AAC07092.1	AAC07082.1	AAC07083.1	AAC07084.1	AAC07085.1	AAC07072.1	DNA polymerase III alpha subunit	hypothetical protein	periplasmic divalent cation tolerance protein	flagellar motor protein MotA	flagellar motor protein MotB	flagellar motor protein MotB-like	long-chain-fatty-acid CoA ligase	GCA_000008625.1_ASM862v1	genomes/GCA_000008625.1_ASM862v1/GCA_000008625.1_ASM862v1_feature_table.txt
51	66	UOY13875.1	Treponema pallidum subsp. pallidum	flgD	flgE			motB		fliM	-	-	-	-	-	-	-	UOY13878.1	UOY13877.1	UOY13876.1	UOY13875.1	UOY13874.1	UOY13873.1	UOY13872.1	flagellar hook assembly protein FlgD	flagellar hook protein FlgE	flagellar FlbD family protein	motility protein A	flagellar motor protein MotB	flagellar basal body-associated FliL family protein	flagellar motor switch protein FliM	GCA_023016405.1_ASM2301640v1	genomes/GCA_023016405.1_ASM2301640v1/GCA_023016405.1_ASM2301640v1_feature_table.txt
52	67	AWG41586.1	Treponema pallidum subsp. pertenue	flgD	flgE	flbD	motA	motB	fliL2	fliM	-	-	-	-	-	-	-	AWG41589.1	AWG41588.1	AWG41587.1	AWG41586.1	AWG41585.1	AWG41584.1	AWG41583.1	flagellar basal body rod modification protein FlgD	flagellar hook protein FlgE	flagellar protein FlbD	Mot family proton (H+) or sodium (Na+) transporter MotA	Mot family proton (H+) or sodium (Na+) transporter MotB	flagellar basal body-associated protein FliL	flagellar motor switch protein FliM	GCA_003076575.1_ASM307657v1	genomes/GCA_003076575.1_ASM307657v1/GCA_003076575.1_ASM307657v1_feature_table.txt
53	71	QAT61614.1	Tissierella sp. JN-28							fliM	+	+	+	+	+	+	+	QAT61611.1	QAT61612.1	QAT61613.1	QAT61614.1	QAT61615.1	QAT61616.1	QAT61617.1	flagellar protein	flagellar hook protein FlgE	flagellar protein FlbD	motility protein A	flagellar motor protein MotB	flagellar basal body-associated FliL family protein	flagellar motor switch protein FliM	GCA_004103715.1_ASM410371v1	genomes/GCA_004103715.1_ASM410371v1/GCA_004103715.1_ASM410371v1_feature_table.txt
54	72	BAS27507.1	Limnochorda pilosa	NA	NA	NA	NA	NA	NA	NA	+	+	+	+	+	+	+	BAS27504.1	BAS27505.1	BAS27506.1	BAS27507.1	BAS27508.1	BAS27509.1	BAS27510.1	flagellar hook capping protein	flagellar biosynthesis protein	fagellar hook-basal body protein	flagellar motor protein MotP	flagellar motor protein MotB	hypothetical protein	hypothetical protein	GCA_001544015.1_ASM154401v1	genomes/GCA_001544015.1_ASM154401v1/GCA_001544015.1_ASM154401v1_feature_table.txt
55	73	ATU65955.1	Rhizobacter gummiphilus						flgM		-	-	-	-	-	-	-	ATU68589.1	ATU65957.1	ATU65956.1	ATU65955.1	ATU65954.1	ATU65953.1	ATU65952.1	hypothetical protein	flagellar basal body protein	RNA polymerase sigma factor FliA	flagellar motor stator protein MotA	histidine kinase	flagellar biosynthesis anti-sigma factor FlgM	flagellar protein FlgN	GCA_002762215.1_ASM276221v1	genomes/GCA_002762215.1_ASM276221v1/GCA_002762215.1_ASM276221v1_feature_table.txt
56	74	BAC62899.1	Vibrio parahaemolyticus RIMD 2210633	VPA1553	VPA1554	VPA1555	VPA1556	VPA1557	VPA1558	VPA1559	+	+	+	+	+	+	-	BAC62896.1	BAC62897.1	BAC62898.1	BAC62899.1	BAC62900.1	BAC62901.1	BAC62902.1	LafE	LafF	"flagellar-specific transcription initiation factor sigma, LafS"	chemotaxis LafT protein	chemotaxis LafU protein	hypothetical protein	hypothetical protein	GCA_000196095.1_ASM19609v1	genomes/GCA_000196095.1_ASM19609v1/GCA_000196095.1_ASM19609v1_feature_table.txt
57	76	AJJ32757.1	Yersinia pestis				motA				-	-	-	-	-	-	-	AJJ32469.1	AJJ29933.1	AJJ32782.1	AJJ32757.1	AJJ32917.1	AJJ30949.1	AJJ30031.1	flagellar hook-length control FliK family protein	flagellar basal body-associated FliL family protein	"RNA polymerase sigma factor, FliA/WhiG family protein"	flagellar motor stator protein MotA	membrane MotB of proton-channel complex MotA/MotB family protein	hypothetical protein	putative membrane protein	GCA_000834775.1_ASM83477v1	genomes/GCA_000834775.1_ASM83477v1/GCA_000834775.1_ASM83477v1_feature_table.txt
58	77	ATC63650.1	Nibricoccus aquaticus								-	-	-	-	-	-	-	ATC63653.1	ATC63652.1	ATC63651.1	ATC63650.1	ATC63649.1	ATC63648.1	ATC63647.1	short-chain dehydrogenase/reductase	NADPH:quinone oxidoreductase	RNA polymerase subunit sigma-28	flagellar motor protein MotA	flagellar motor protein MotB	hypothetical protein	hybrid sensor histidine kinase/response regulator	GCA_002310495.1_ASM231049v1	genomes/GCA_002310495.1_ASM231049v1/GCA_002310495.1_ASM231049v1_feature_table.txt
59	78	ACB73691.1	Opitutus terrae PB90-1								-	-	-	-	-	-	-	ACB73694.1	ACB73693.1	ACB73692.1	ACB73691.1	ACB73690.1	ACB73689.1	ACB73688.1	Flagellar GTP-binding protein-like protein	hypothetical protein	"RNA polymerase, sigma 28 subunit, FliA/WhiG"	MotA/TolQ/ExbB proton channel	OmpA/MotB domain protein	hypothetical protein	protein of unknown function DUF1078	GCA_000019965.1_ASM1996v1	genomes/GCA_000019965.1_ASM1996v1/GCA_000019965.1_ASM1996v1_feature_table.txt
60	81	CCW34551.1	Chthonomonas calidirosea T49								-	+	+	-	-	-	-	CCW34554.1	CCW34553.1	CCW34552.1	CCW34551.1	CCW34550.1	CCW34549.1	CCW34548.1	Predicted transcriptional regulators	Tfp pilus assembly protein PilF	nucleotide sugar dehydrogenase	flagellar motor stator protein MotA	Flagellar motor protein	"Pyruvate/2-oxoglutarate dehydrogenase complex,dihydrolipoamide dehydrogenase (E3) component, and related enzymes"	hypothetical protein	GCA_000427095.1_T49	genomes/GCA_000427095.1_T49/GCA_000427095.1_T49_feature_table.txt
61	82	QJR36484.1	Gemmatimonas groenlandica	flgK			motA				+	+	-	+	+	-	+	QJR36481.1	QJR36482.1	QJR36483.1	QJR36484.1	QJR36485.1	QJR36486.1	QJR36487.1	flagellar hook-associated protein FlgK	carbon storage regulator	HAMP domain-containing histidine kinase	flagellar motor stator protein MotA	OmpA family protein	EAL domain-containing protein	hypothetical protein	GCA_013004105.1_ASM1300410v1	genomes/GCA_013004105.1_ASM1300410v1/GCA_013004105.1_ASM1300410v1_feature_table.txt
62	83	BAH37338.1	Gemmatimonas aurantiaca T-27	flgK			motA	motB			-	-	+	-	-	+	-	BAH37341.1	BAH37340.1	BAH37339.1	BAH37338.1	BAH37337.1	BAH37336.1	BAH37335.1	flagellar hook-associated protein 1	carbon storage regulator	hypothetical protein	chemotaxis MotA protein	chemotaxis MotB protein	hypothetical protein	hypothetical protein	GCA_000010305.1_ASM1030v1	genomes/GCA_000010305.1_ASM1030v1/GCA_000010305.1_ASM1030v1_feature_table.txt
63	86	QQS05761.1	Fibrobacteres bacterium				motA				-	-	-	-	-	+	+	QQS05764.1	QQS05763.1	QQS05762.1	QQS05761.1	QQS05760.1	QQS05759.1	QQS05758.1	prepilin-type N-terminal cleavage/methylation domain-containing protein	prepilin-type N-terminal cleavage/methylation domain-containing protein	hypothetical protein	flagellar motor stator protein MotA	OmpA family protein	hypothetical protein	hypothetical protein	GCA_016699655.1_ASM1669965v1	genomes/GCA_016699655.1_ASM1669965v1/GCA_016699655.1_ASM1669965v1_feature_table.txt
64	88	ABC77078.1	Syntrophus aciditrophicus SB	NA	NA	NA	NA	NA	NA	NA	-	+	-	-	-	+	+	ABC77081.1	ABC77080.1	ABC77079.1	ABC77078.1	ABC77077.1	ABC77076.1	ABC77075.1	"ABC-type Mn2+/Zn2+ transport systems, permease component"	hypothetical cytosolic protein	hypothetical cytosolic protein	chemotaxis protein	chemotaxis protein	putative inhibitor of MCP methylation	chemotaxis protein	GCA_000013405.1_ASM1340v1	genomes/GCA_000013405.1_ASM1340v1/GCA_000013405.1_ASM1340v1_feature_table.txt
65	89	BCB96094.1	Dissulfurispira thermophila								+	+	+	+	+	-	-	BCB96091.1	BCB96092.1	BCB96093.1	BCB96094.1	BCB96095.1	BCB96096.1	BCB96097.1	chemotaxis protein MotA	chemotaxis protein MotB	pilus assembly protein PilZ	flagellar motor stator protein MotA	hypothetical protein	hypothetical protein	hypothetical protein	GCA_014701235.1_ASM1470123v1	genomes/GCA_014701235.1_ASM1470123v1/GCA_014701235.1_ASM1470123v1_feature_table.txt
66	91	QOY85080.1	Paludibaculum fermentans				motA				-	-	-	+	+	+	+	QOY85077.1	QOY85078.1	QOY85079.1	QOY85080.1	QOY85081.1	QOY85082.1	QOY85083.1	chemotaxis protein CheW	hypothetical protein	response regulator	flagellar motor stator protein MotA	OmpA family protein	GDSL family lipase	exopolysaccharide biosynthesis protein	GCA_015277775.1_ASM1527777v1	genomes/GCA_015277775.1_ASM1527777v1/GCA_015277775.1_ASM1527777v1_feature_table.txt
67	92	ACO33337.1	Acidobacterium capsulatum ATCC 51196	narP				motB2			-	+	+	+	+	+	-	ACO34528.1	ACO31436.1	ACO32191.1	ACO33337.1	ACO34085.1	ACO31340.1	ACO33371.1	two-component response regulator	pyridine nucleotide-disulphide oxidoreductase	two-component sensor histidine kinase all1088	putative chemotaxis MotA protein	chemotaxis protein MotB	pyridine nucleotide-disulphide oxidoreductase	GAF/FHA/SpoE domain protein	GCA_000022565.1_ASM2256v1	genomes/GCA_000022565.1_ASM2256v1/GCA_000022565.1_ASM2256v1_feature_table.txt
68	93	QOY88835.1	Paludibaculum fermentans				motA				-	-	-	-	-	+	-	QOY88838.1	QOY88837.1	QOY88836.1	QOY88835.1	QOY88834.1	QOY88833.1	QOY88832.1	flagellar biosynthetic protein FliR	EscU/YscU/HrcU family type III secretion system export apparatus switch protein	response regulator	flagellar motor stator protein MotA	OmpA family protein	hypothetical protein	alkaline phosphatase	GCA_015277775.1_ASM1527777v1	genomes/GCA_015277775.1_ASM1527777v1/GCA_015277775.1_ASM1527777v1_feature_table.txt
69	94	QOY86330.1	Paludibaculum fermentans				motA				-	-	-	+	+	-	+	QOY86327.1	QOY86328.1	QOY86329.1	QOY86330.1	QOY86331.1	QOY86332.1	QOY86333.1	Do family serine endopeptidase	DMT family transporter	M20/M25/M40 family metallo-hydrolase	flagellar motor stator protein MotA	OmpA family protein	HAD-IB family phosphatase	hypothetical protein	GCA_015277775.1_ASM1527777v1	genomes/GCA_015277775.1_ASM1527777v1/GCA_015277775.1_ASM1527777v1_feature_table.txt
70	95	AEI89251.1	Candidatus Midichloria mitochondrii IricVA		infA	maf	motA	motB			-	-	-	-	-	-	-	AEI89254.1	AEI89253.1	AEI89252.1	AEI89251.1	AEI89250.1	AEI89249.1	AEI89248.1	hypothetical protein	translation initiation factor IF-1	septum formation protein	flagellar motor protein MotA	flagellar motor protein MotB	hypothetical protein	hypothetical protein	GCA_000219355.1_ASM21935v1	genomes/GCA_000219355.1_ASM21935v1/GCA_000219355.1_ASM21935v1_feature_table.txt
71	96	AEI88772.1	Candidatus Midichloria mitochondrii IricVA		baeS	corA	motA			hemK	-	-	-	+	+	+	+	AEI88769.1	AEI88770.1	AEI88771.1	AEI88772.1	AEI88773.1	AEI88774.1	AEI88775.1	ferric uptake regulation protein	signal transduction histidine kinase	magnesium cobalt transport protein	flagellar motor protein MotA duplicate	hypothetical protein	5-formyltetrahydrofolate cyclo-ligase	"modification methylase, HemK family"	GCA_000219355.1_ASM21935v1	genomes/GCA_000219355.1_ASM21935v1/GCA_000219355.1_ASM21935v1_feature_table.txt
72	97	QNQ09341.1	Sphingomonas alpina		flgK	flgL	motA			hemA	+	+	+	+	+	-	-	QNQ09338.1	QNQ09339.1	QNQ09340.1	QNQ09341.1	QNQ09342.1	QNQ09343.1	QNQ09344.1	rod-binding protein	flagellar hook-associated protein FlgK	flagellar hook-associated protein FlgL	flagellar motor stator protein MotA	OmpA family protein	DUF695 domain-containing protein	5-aminolevulinate synthase	GCA_014490665.1_ASM1449066v1	genomes/GCA_014490665.1_ASM1449066v1/GCA_014490665.1_ASM1449066v1_feature_table.txt
73	98	ADE87210.1	Rhodobacter capsulatus SB 1003	fliL1			motA		hemS	hemN3	+	+	+	+	+	+	-	ADE87207.1	ADE87208.1	ADE87209.1	ADE87210.1	ADE87211.1	ADE87212.1	ADE87213.1	flagellar basal body-associated protein FliL-1	conserved hypothetical protein	conserved hypothetical protein	chemotaxis protein MotA	conserved hypothetical protein	hemin transport protein HmuS	oxygen-independent coproporphyrinogen-III oxidase-3	GCA_000021865.1_ASM2186v1	genomes/GCA_000021865.1_ASM2186v1/GCA_000021865.1_ASM2186v1_feature_table.txt
74	99	ADL02462.1	Brevundimonas subvibrioides ATCC 15264								+	-	+	+	+	+	+	ADL02459.1	ADL02460.1	ADL02461.1	ADL02462.1	ADL02463.1	ADL02464.1	ADL02465.1	conserved hypothetical protein	hypothetical protein	AMP-dependent synthetase and ligase	MotA/TolQ/ExbB proton channel	hypothetical protein	conserved hypothetical protein	tRNA U-34 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC	GCA_000144605.1_ASM14460v1	genomes/GCA_000144605.1_ASM14460v1/GCA_000144605.1_ASM14460v1_feature_table.txt
75	101	AIQ89863.1	Methylobacterium oryzae CBMB20	flgF						fliN	-	-	+	+	+	+	+	AIQ89860.1	AIQ89861.1	AIQ89862.1	AIQ89863.1	AIQ89864.1	AIQ89865.1	AIQ89866.1	Flagellar basal-body rod protein flgF	Flagellar basal-body rod protein flgF	protein of unassigned function	Flagellar motor rotation protein MotA	Flagellar motor switch protein FliM	protein of unassigned function	Flagellar motor switch protein FliN	GCA_000757795.1_ASM75779v1	genomes/GCA_000757795.1_ASM75779v1/GCA_000757795.1_ASM75779v1_feature_table.txt
76	102	ABQ62189.1	Brucella ovis ATCC 25840		flgF		motA				+	+	+	-	-	-	-	ABQ62239.1	ABQ62905.1	ABQ62659.1	ABQ62189.1				flagellum-specific ATP synthase	flagellar basal-body rod protein FlgF	conserved hypothetical protein	chemotaxis motA protein				GCA_000016845.1_ASM1684v1	genomes/GCA_000016845.1_ASM1684v1/GCA_000016845.1_ASM1684v1_feature_table.txt
77	104	AIQ92722.1	Methylobacterium oryzae CBMB20				motA				+	-	+	+	+	+	-	AIQ92719.1	AIQ92720.1	AIQ92721.1	AIQ92722.1	AIQ92723.1	AIQ92724.1	AIQ92725.1	protein of unassigned function	"Metal-dependent phosphohydrolase, HD subdomain protein"	Transposase IS116/IS110/IS902 family	Flagellar motor rotation protein MotA	OmpA/MotB domain-containing protein	protein of unassigned function	protein of unassigned function	GCA_000757795.1_ASM75779v1	genomes/GCA_000757795.1_ASM75779v1/GCA_000757795.1_ASM75779v1_feature_table.txt
78	105	CDK98316.1	Magnetospirillum gryphiswaldense MSR-1 v2								-	+	+	-	-	-	-	CDK98319.1	CDK98318.1	CDK98317.1	CDK98316.1	CDK98315.1	CDK98314.1	CDK98313.1	putative Threonine dehydratase	putative hydroxyphenylacetate 3-monooxygenase reductase component	protein of unknown function	putative Motility protein A	putative Flagellar motor protein	conserved hypothetical protein; putative membrane protein	putative arginyl-tRNA--protein transferase	GCA_000513295.1_MGMSRv2	genomes/GCA_000513295.1_MGMSRv2/GCA_000513295.1_MGMSRv2_feature_table.txt
79	106	AEO48360.1	Rhodospirillum rubrum F11								-	+	-	+	+	+	+	AEO48357.1	AEO48358.1	AEO48359.1	AEO48360.1	AEO48361.1	AEO48362.1	AEO48363.1	TRAP-type C4-dicarboxylate transport system periplasmic component-like protein	penicillin amidase	"flavin reductase-like, FMN-binding protein"	"motA, chemotaxis (motility protein A)"	OmpA/MotB	hypothetical protein	arginyl-tRNA-protein transferase	GCA_000225955.1_ASM22595v1	genomes/GCA_000225955.1_ASM22595v1/GCA_000225955.1_ASM22595v1_feature_table.txt
80	107	QKY95842.1	Shigella sonnei	uspC	flhD	flhC	motA	motB	cheA	cheW	-	+	+	+	+	+	+	QKY95839.1	QKY95840.1	QKY95841.1	QKY95842.1	QKY95843.1	QKY95844.1	QKY95845.1	universal stress protein UspC	flagellar transcriptional regulator FlhD	flagellar transcriptional regulator FlhC	flagellar motor stator protein MotA	flagellar motor protein MotB	chemotaxis protein CheA	chemotaxis protein CheW	GCA_013374815.1_ASM1337481v1	genomes/GCA_013374815.1_ASM1337481v1/GCA_013374815.1_ASM1337481v1_feature_table.txt
81	108	AAC74960.1	Escherichia coli str. K-12 substr. MG1655	flhD	flhC	motR	motA	motB	cheA	cheA	-	-	-	-	-	-	-	AAC74962.2	AAC74961.1		AAC74960.1	AAC74959.1	AAC74958.2		DNA-binding transcriptional dual regulator FlhD	DNA-binding transcriptional dual regulator FlhC	small RNA MotR	motility protein A	motility protein B	chemotaxis protein CheA		GCA_000005845.2_ASM584v2	genomes/GCA_000005845.2_ASM584v2/GCA_000005845.2_ASM584v2_feature_table.txt
82	109	QXB11670.1	Klebsiella aerogenes		flhD	flhC	motA	motB	cheA	cheW	-	+	+	+	+	+	+	QXB11667.1	QXB11668.1	QXB11669.1	QXB11670.1	QXB11671.1	QXB11672.1	QXB11673.1	aminoimidazole riboside kinase	flagellar transcriptional regulator FlhD	flagellar transcriptional regulator FlhC	flagellar motor stator protein MotA	flagellar motor protein MotB	chemotaxis protein CheA	chemotaxis protein CheW	GCA_019048125.1_ASM1904812v1	genomes/GCA_019048125.1_ASM1904812v1/GCA_019048125.1_ASM1904812v1_feature_table.txt
83	110	AJJ54987.1	Yersinia pseudotuberculosis IP 32953	mgtA		flhC	motA	motB	cheA		+	+	+	+	+	+	+	AJJ53734.1	AJJ56657.1	AJJ53267.1	AJJ54987.1	AJJ55678.1	AJJ57181.1	AJJ54175.1	magnesium-translocating P-type ATPase	flagellar transcriptional activator family protein	flagellar transcriptional regulator FlhC	flagellar motor stator protein MotA	motility protein B	chemotaxis protein CheA	cheW-like domain protein	GCA_000834295.1_ASM83429v1	genomes/GCA_000834295.1_ASM83429v1/GCA_000834295.1_ASM83429v1_feature_table.txt
84	111	AJJ32465.1	Yersinia pestis	mgtA		flhC	motA	motB	cheA		-	-	-	-	-	-	-	AJJ33343.1	AJJ30872.1	AJJ30122.1	AJJ32465.1	AJJ29914.1	AJJ32492.1	AJJ31576.1	magnesium-translocating P-type ATPase	flagellar transcriptional activator family protein	flagellar transcriptional regulator FlhC	flagellar motor stator protein MotA	motility protein B	chemotaxis protein CheA	cheW-like domain protein	GCA_000834775.1_ASM83477v1	genomes/GCA_000834775.1_ASM83477v1/GCA_000834775.1_ASM83477v1_feature_table.txt
85	112	QKS29226.1	Candidatus Accumulibacter similis				motA	motB		purB	+	+	-	+	+	-	+	QKS29223.1	QKS29224.1	QKS29225.1	QKS29226.1	QKS29227.1	QKS29228.1	QKS29229.1	DUF3149 domain-containing protein	energy transducer TonB	NUDIX hydrolase	flagellar motor stator protein MotA	flagellar motor protein MotB	glutathione S-transferase	adenylosuccinate lyase	GCA_013347225.1_ASM1334722v1	genomes/GCA_013347225.1_ASM1334722v1/GCA_013347225.1_ASM1334722v1_feature_table.txt
86	113	ATU66302.1	Rhizobacter gummiphilus				motA				+	+	+	+	+	+	+	ATU66299.1	ATU66300.1	ATU66301.1	ATU66302.1	ATU66303.1	ATU66304.1	ATU66305.1	glycosyltransferase	flagellar transcriptional regulator FlhD	flagellar transcriptional regulator FlhC	flagellar motor stator protein MotA	motility protein MotB	chemotaxis protein CheY	protein phosphatase CheZ	GCA_002762215.1_ASM276221v1	genomes/GCA_002762215.1_ASM276221v1/GCA_002762215.1_ASM276221v1_feature_table.txt
87	114	UBQ05764.1	Tepidimonas taiwanensis				motA	motB	cheY		+	+	+	+	+	+	+	UBQ05761.1	UBQ05762.1	UBQ05763.1	UBQ05764.1	UBQ05765.1	UBQ05766.1	UBQ05767.1	YqjD family protein	phage holin family protein	YqjK-like family protein	flagellar motor stator protein MotA	flagellar motor protein MotB	chemotaxis response regulator CheY	protein phosphatase CheZ	GCA_020162115.1_ASM2016211v1	genomes/GCA_020162115.1_ASM2016211v1/GCA_020162115.1_ASM2016211v1_feature_table.txt
88	115	APW43194.1	Rhodoferax saidenbachensis								-	-	+	-	+	-	-	APW43197.1	APW43196.1	APW43195.1	APW43194.1	APW43193.1	APW43192.1	APW43191.1	hypothetical protein	arylsulfatase	hypothetical protein	flagellar motor stator protein MotA	AraC family transcriptional regulator	flavodoxin	murein transglycosylase	GCA_001955715.1_ASM195571v1	genomes/GCA_001955715.1_ASM195571v1/GCA_001955715.1_ASM195571v1_feature_table.txt
89	116	APW42908.1	Rhodoferax saidenbachensis								+	-	-	-	+	+	+	APW42910.1	APW44804.1	APW42909.1	APW42908.1	APW42907.1	APW42906.1	APW42905.1	Cd(II)/Pb(II)-responsive transcriptional regulator	hypothetical protein	hypothetical protein	flagellar motor stator protein MotA	hypothetical protein	hypothetical protein	hypothetical protein	GCA_001955715.1_ASM195571v1	genomes/GCA_001955715.1_ASM195571v1/GCA_001955715.1_ASM195571v1_feature_table.txt
90	117	ACX76601.1	Fibrobacter succinogenes subsp. succinogenes S85								-	-	-	-	-	-	-	ACX76604.1	ACX76603.1	ACX76602.1	ACX76601.1	ACX76600.1	ACX76599.1	ACX76598.1	hypothetical protein	hypothetical protein	hypothetical protein	hypothetical protein	OmpA/MotB domain protein	hypothetical protein	hypothetical protein	GCA_000024665.1_ASM2466v1	genomes/GCA_000024665.1_ASM2466v1/GCA_000024665.1_ASM2466v1_feature_table.txt
91	118	ACX76639.1	Fibrobacter succinogenes subsp. succinogenes S85								-	-	-	-	-	-	-	ACX76642.1	ACX76641.1	ACX76640.1	ACX76639.1	ACX76638.1	ACX76637.1	ACX76636.1	glycyl-tRNA synthetase	hypothetical protein	conserved hypothetical protein	hypothetical protein	conserved hypothetical protein	hypothetical protein	SNF2-related protein	GCA_000024665.1_ASM2466v1	genomes/GCA_000024665.1_ASM2466v1/GCA_000024665.1_ASM2466v1_feature_table.txt
